Hersteller;Model;Seriennummer;Prozessor;RAM;HDD-Model;HDD-Size;HDD-SN0;HDD-SN1;HDD-SN2;Zeit  
Hewlett-Packard  ;HP ZBook 15 G2  ;CND6054P8W    ;Intel(R) Core(TM) i5-4340M CPU @ 2.90GHz  ;8465264640           ;Samsung SSD 850 PRO 256GB  ;256052966400  ;S251NXAG834595B  ;;;23:09  Uhr   
HP            ;HP Pro X2 612 G2  ;5CG7281JHX    ;Intel(R) Core(TM) i5-7Y54 CPU @ 1.20GHz  ;8459083776           ;Generic STORAGE DEVICE USB Device  ;;0008_0D02_0027_3394.  ;[             ;;14:27  Uhr   
HP            ;HP Pro x2 612 G2  ;5CG7393C52    ;Intel(R) Core(TM) i5-7Y54 CPU @ 1.20GHz  ;8459083776           ;SAMSUNG MZVLW256HEHP-000H1  ;256052966400  ;0025_38B8_7101_E931.  ;;;14:30  Uhr   
HP            ;HP ProBook 650 G2  ;5CG6505FVV    ;Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ;8463122432           ;LITEON CV5-8Q256-HP  ;256052966400  ;002644100ATC  ;;;14:30  Uhr   
HP            ;HP EliteBook 820 G3  ;5CG7273200    ;Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ;8463499264           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01J1AYKPE  ;;;14:30  Uhr   
;;;;;;;;;;15:30  Uhr   
;;;;;;;;;;15:33  Uhr   
HP            ;HP Pro x2 612 G2  ;5CG7235M7V    ;Intel(R) Core(TM) i5-7Y54 CPU @ 1.20GHz  ;8459083776           ;Generic MassStorageClass USB Device  ;;0008_0D02_0021_9339.  ;000000001538  ;000000001538  ;17:39  Uhr   
HP            ;HP Pro x2 612 G2  ;5CG80633FC    ;Intel(R) Core(TM) i5-7Y54 CPU @ 1.20GHz  ;8459083776           ;KXG50ZNV256G TOSHIBA  ;256052966400  ;0000_0000_0000_0010_0008_0D05_0003_26BB.  ;;;18:36  Uhr   
HP            ;HP Pro x2 612 G2  ;5CG80633HL    ;Intel(R) Core(TM) i5-7Y54 CPU @ 1.20GHz  ;8459083776           ;KXG50ZNV256G TOSHIBA  ;256052966400  ;0000_0000_0000_0010_0008_0D05_0003_27F5.  ;;;11:07  Uhr   
HP            ;HP EliteBook 850 G4  ;5CG7511T1Q    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8452755456           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UFZNP01J79078K  ;;;12:17  Uhr   
HP            ;HP EliteBook 850 G4  ;5CG8231SCP    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8459083776           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UFZNP01ZRALYY7  ;;;12:18  Uhr   
HP            ;HP EliteBook 850 G4  ;5CG81743BP    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8452747264           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UFZNP01J7ADI1D  ;;;12:18  Uhr   
HP            ;HP EliteBook 850 G4  ;5CG8091ZYX---    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8452755456           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UFZNP01ZR89DHQ  ;;;12:29  Uhr   
HP            ;HP Pro x2 612 G2  ;5CG80633H6    ;Intel(R) Core(TM) i5-7Y54 CPU @ 1.20GHz  ;8459083776           ;KXG50ZNV256G TOSHIBA  ;256052966400  ;0000_0000_0000_0010_0008_0D05_0003_269F.  ;;;14:20  Uhr   
HP            ;HP Pro x2 612 G2  ;5CG7235M37    ;Intel(R) Core(TM) i5-7Y54 CPU @ 1.20GHz  ;8459083776           ;THNSN5256GPUK TOSHIBA  ;256052966400  ;0008_0D02_0021_932B.  ;;;14:20  Uhr   
HP            ;HP Pro x2 612 G2  ;5CG80633K5    ;Intel(R) Core(TM) i5-7Y54 CPU @ 1.20GHz  ;8459083776           ;SAMSUNG MZVLW256HEHP-000H1  ;256052966400  ;0025_38BC_71B0_F111.  ;;;17:46  Uhr   
HP            ;HP EliteBook 850 G3  ;5CG7335FVZ    ;Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ;8455376896           ;SanDisk SD8SN8U-256G-1006  ;256052966400  ;170805421453  ;;;17:49  Uhr   
HP            ;HP EliteBook 850 G4  ;5CG8112KQV    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;17049018368          ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UFZNP01ZRACSX1  ;;;17:49  Uhr   
HP            ;HP EliteBook 850 G4  ;5CG8091ZYX    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8452755456           ;SAMSUNG MZNLN256HAJQ-000H7  ;256052966400  ;S3T7NA0M806886  ;;;17:52  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8400HHN---    ;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz  ;8425529344           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UFZNP01ZR873TO  ;;;11:26  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8397CRJ    ;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz  ;17015463936          ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01D1AWCWF  ;;;14:46  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8418MHW    ;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz  ;8425529344           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01J1AYSDU  ;;;14:47  Uhr   
HP            ;HP ProBook 650 G4  ;5CG83466BC    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8425529344           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01DNAM1UX  ;;;14:48  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8400HHN    ;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz  ;8425529344           ;SanDisk SD8SN8U-256G-1006  ;256052966400  ;164096427022  ;;;15:21  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8418MCR    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;17015463936          ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01J1AYN6X  ;;;18:38  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8363Y85    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8425529344           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01J7ASA0M  ;;;18:39  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8350ZFY    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8425529344           ;MTFDHBA256TCK-1AS1AABHA  ;256052966400  ;0000_0000_0000_0001_00A0_7519_24C5_451C.  ;;;18:39  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8350W2W    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8425529344           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01DNAM8S1  ;;;18:40  Uhr   
HP            ;HP ProDesk 600 G3 MT  ;CZC80880K9    ;Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz  ;8459083776           ;LITEON CV3-CE256-HP  ;256052966400  ;0028041009ET  ;;;20:17  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8418MJP    ;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz  ;8425529344           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01J1AYJ8M  ;;;11:35  Uhr   
HP            ;HP ProBook 650 G4  ;5CG83865XM    ;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz  ;8425529344           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01J7AW13X  ;;;11:37  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8350W43    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8425529344           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01DNAM8SC  ;;;11:41  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8418MDC    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8425529344           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01J1AYSFB  ;;;17:19  Uhr   
HP            ;HP ProBook 650 G4  ;5CG9192S28    ;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz  ;8425529344           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01N4BX2VB  ;;;17:21  Uhr   
HP            ;HP ProBook 650 G4  ;5CG8350W34    ;Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz  ;8425529344           ;MTFDDAV256TBN-1AR15ABHA  ;256052966400  ;UGXVR01D1ANCAP  ;;;17:22  Uhr   
HP            ;HP ProBook 650 G2  ;5CG6504X70    ;Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ;8463101952           ;LITEON CV5-8Q256-HP  ;256052966400  ;00264510015W  ;;;17:54  Uhr   
HP            ;HP ProBook 650 G2  ;5CG6505FT1    ;Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ;8463122432           ;LITEON CV5-8Q256-HP  ;256052966400  ;002644100ATH  ;;;18:00  Uhr   
HP            ;HP Z240 Tower Workstation  ;CZC8218575    ;Intel(R) Xeon(R) CPU E3-1225 v5 @ 3.30GHz  ;17094905856          ;MTFDDAK256TBN-1AR1ZABHA  ;256052966400  ;UFZMN01J177TR5  ;;;18:58  Uhr   
Hewlett-Packard  ;HP ZBook 15  ;CND4130H1N    ;Intel(R) Core(TM) i5-4330M CPU @ 2.80GHz  ;8381378560           ;WDC WD5000BPKX-60HPJT0  ;500105249280  ;WD-WX21EC3CC712  ;;;17:24  Uhr   
HP            ;HP ZBook 17 G3  ;CND7230TL6    ;Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz  ;17053540352          ;TOSHIBA MQ01ABD100M        ;1000202273280  ;X6FJPBCCT     ;164703805331  ;;15:52  Uhr   
HP            ;HP ZBook 17 G4  ;CND8104VP9    ;Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz  ;17049010176          ;WDC WD10SPZX-22Z10T0     ;1000202273280  ;UFZNP01ZRAK9YH  ;WD-WXP1A87PFLZL  ;;17:30  Uhr   
HP            ;HP ZBook 17 G4  ;CND8104VPB    ;Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz  ;34228879360          ;WDC WD10SPZX-22Z10T0  ;1000202273280  ;PNY15200238640419C7B  ;WD-WXJ1AB79UAVD  ;;12:56  Uhr   
